Buffer Number,Packet,Start Time,End Time,ID,RTR,FDF,DLC,Data,CRC,ACK,CRC Valid,Bit Stuffing Valid,Valid,IDE
52,92,0.0428105597398201,0.0430444797385078,085,0,0,8,C0 00 00 40 14 00 04 54,7C 5A,0,1,1,1,0
52,93,0.0430505597383615,0.0432866397370361,0B5,0,0,8,B1 D5 2F 00 00 00 00 10,0F FE,0,1,1,1,0
52,94,0.0432927997368893,0.0435227997356009,115,0,0,8,0F D0 11 70 C7 67 C4 00,07 CD,0,1,1,1,0
52,95,0.043528959735454,0.0437509597342142,275,0,0,8,F4 08 64 00 E3 43 88 4C,6B 56,0,1,1,1,0
52,96,0.0437571997340669,0.0439871997327785,345,0,0,8,3F B4 04 B6 E4 FC F4 00,3D F6,0,1,1,1,0
52,97,0.0439934397326311,0.0442294397313063,395,0,0,8,00 00 07 AF 55 FF C3 FF,20 F4,0,1,1,1,0
52,98,0.0454176797239754,0.0456495997226753,245,0,0,8,B2 F9 E3 00 C4 00 00 00,7F 4B,0,1,1,1,0
52,99,0.0456557597225284,0.0458897597212157,255,0,0,8,01 FF E5 FE E7 F9 F7 FF,43 5E,0,1,1,1,0
52,100,0.0458958397210694,0.046131759719745,285,0,0,8,1C 4F 00 00 80 00 80 00,0C D5,0,1,1,1,0
52,101,0.0461379197195981,0.0463739197182733,295,0,0,8,F0 00 78 18 80 00 80 00,01 91,0,1,1,1,0
52,102,0.0463799997181269,0.0466080797168502,2B5,0,0,8,88 00 74 00 E2 00 95 FA,51 99,0,1,1,1,0
52,103,0.0466140797167043,0.0468480797153916,025,0,0,8,06 7B 80 00 80 00 80 24,13 B8,0,1,1,1,0
52,104,0.0468543197152442,0.0470883197139315,2F5,0,0,8,20 9F 80 62 F0 00 FF FF,30 DA,0,1,1,1,0
52,105,0.0470945597137842,0.0473204797125206,305,0,0,8,0C 00 32 34 35 38 35 39,39 ED,0,1,1,1,0
52,106,0.0473267197123732,0.0475607197110605,325,0,0,8,03 81 03 E3 00 00 1D FF,6D 8B,0,1,1,1,0
52,107,0.0475667997109142,0.0478087997095528,358,0,0,8,00 00 00 00 00 00 78 07,6E 87,0,1,1,1,0
52,108,0.0478148797094065,0.0480427997081307,095,0,0,8,07 FF 48 A0 32 F1 62 09,70 53,0,1,1,1,0
52,109,0.0480489597079838,0.0482770397067071,0C5,0,0,8,30 64 80 3F FF 58 84 32,33 07,0,1,1,1,0
52,110,0.0482831997065603,0.0485251997051989,0D5,0,0,8,00 2F FF A0 00 00 00 00,03 EA,0,1,1,1,0
52,111,0.0493016797003705,0.0495296796990942,2E5,0,0,8,80 00 1D EC 00 C7 D2 95,57 52,0,1,1,1,0
51,1,1.35199999178326E-05,0.000235519998678028,275,0,0,8,F4 08 64 00 E3 43 88 4C,6B 56,0,1,1,1,0
51,2,0.00165799998992355,0.00188591998864777,2E5,0,0,8,80 00 1D EC 00 C7 42 DD,5E FD,0,1,1,1,0
51,3,0.00197207998801474,0.00220407998671416,245,0,0,8,B2 F9 D3 00 C8 00 00 00,49 7D,0,1,1,1,0
51,4,0.00221031998656684,0.00244631998524195,255,0,0,8,01 FF E5 FF E7 F9 F7 FF,24 B6,0,1,1,1,0
51,5,0.00245247998509512,0.00268847998377023,285,0,0,8,1C 4F 00 00 80 00 80 00,0C D5,0,1,1,1,0
51,6,0.00269455998362389,0.00293047998229949,295,0,0,8,F0 00 78 1C 80 00 80 00,15 03,0,1,1,1,0
51,7,0.00293679998215168,0.00316663998086423,2B5,0,0,8,90 00 74 00 D2 00 92 FA,03 6C,0,1,1,1,0
51,8,0.00317287998071691,0.00340687997940418,2F5,0,0,8,20 9F 80 62 F0 00 FF FF,30 DA,0,1,1,1,0
51,9,0.00341287997925832,0.00364879997793392,025,0,0,8,08 5B 80 00 80 00 80 24,44 1A,0,1,1,1,0
51,10,0.00365519997778563,0.003881119976522,305,0,0,8,0C 00 32 34 35 38 35 39,39 ED,0,1,1,1,0
51,11,0.00388735997637468,0.00411735997508626,325,0,0,8,03 81 03 D3 00 00 2D FF,04 63,0,1,1,1,0
51,12,0.00412359997493894,0.00436559997357759,358,0,0,8,00 00 00 00 00 00 78 07,6E 87,0,1,1,1,0
51,13,0.00437167997343124,0.00459759997216762,435,0,0,8,00 00 04 EA 11 00 CE 8F,2F 67,0,1,1,1,0
51,14,0.00898151994541507,0.00921551994410234,085,0,0,8,C0 00 00 40 14 00 04 54,7C 5A,0,1,1,1,0
51,15,0.00922159994395599,0.00946367994259416,0D5,0,0,8,00 0F FF E8 00 00 00 00,27 A3,0,1,1,1,0
51,16,0.00946983994244732,0.00969783994117106,0B5,0,0,8,B1 D5 2F 2B 00 00 00 10,2A 72,0,1,1,1,0
51,17,0.00970383994102519,0.00993023993975865,0A5,0,0,8,78 03 72 F1 21 D3 FF 00,2F 39,0,1,1,1,0
51,18,0.0099363199396123,0.0101603199383603,0F5,0,0,8,AA 00 C7 FC 97 FF E2 4B,45 E2,0,1,1,1,0
51,19,0.0101664799382135,0.0103885599369732,335,0,0,8,20 98 90 EA AD 38 6B 00,32 55,0,1,1,1,0
51,20,0.0103945599368274,0.0106207999355618,095,0,0,8,07 FF 48 A0 32 F1 62 0A,7B 61,0,1,1,1,0
51,21,0.010626959935415,0.0108550399341382,0C5,0,0,8,30 64 80 3F FF 58 84 32,33 07,0,1,1,1,0
51,22,0.0108611199339919,0.01110319993263,225,0,0,8,00 00 03 FF 00 00 40 00,0A BB,0,1,1,1,0
51,23,0.0111092799324837,0.0113474399311457,235,0,0,8,3F FF EF FF 42 A3 00 00,79 F0,0,1,1,1,0
51,24,0.0113535199309993,0.011575599929759,3A5,0,0,8,07 76 35 FF 00 90 A9 AA,76 3A,0,1,1,1,0
51,25,0.0115819199296112,0.0118179999282858,3C0,0,0,8,00 09 87 69 00 00 00 00,61 17,0,1,1,1,0
51,26,0.011824159928139,0.0120500799268754,3C5,0,0,8,46 21 10 00 00 2A B2 B6,67 7D,0,1,1,1,0
51,27,0.0132020799197647,0.0134380799184399,375,0,0,8,00 00 00 00 00 00 74 90,47 56,0,1,1,1,0
51,28,0.013444079918294,0.0136780799169813,025,0,0,8,09 4B 80 00 80 00 80 24,16 59,0,1,1,1,0
51,29,0.013684479916833,0.0139183999155207,0E5,0,0,8,80 07 3C 00 F7 FF E0 00,6B 9D,0,1,1,1,0
51,30,0.0139245599153739,0.0141565599140733,105,0,0,8,98 16 2E 00 CE 03 06 C1,7F D3,0,1,1,1,0
51,31,0.014162639913927,0.0143926399126385,205,0,0,8,3A 48 A2 05 4E 04 00 00,71 4B,0,1,1,1,0
51,32,0.0143987199124922,0.0146267999112154,215,0,0,8,AC 00 DA 03 02 4E 07 CA,31 B6,0,1,1,1,0
51,33,0.0146328799110691,0.0148768799096956,265,0,0,8,00 00 00 80 00 00 00 00,0B 81,0,1,1,1,0
51,34,0.0148830399095488,0.0151049599083094,315,0,0,8,40 8D D0 92 72 B1 D5 2F,4D F2,0,1,1,1,0
51,35,0.0181533598896735,0.0183894398883481,2A5,0,0,8,00 00 00 00 03 D1 20 22,6C 02,0,1,1,1,0
51,36,0.0190535998842023,0.0192955198828414,385,0,0,8,00 00 00 00 00 00 00 16,1B 7F,0,1,1,1,0
51,37,0.0193016798826946,0.0195357598813814,085,0,0,8,C0 00 00 40 14 00 04 54,7C 5A,0,1,1,1,0
51,38,0.0195417598812355,0.0197779198799096,0B5,0,0,8,B1 D5 2F 00 00 00 00 10,0F FE,0,1,1,1,0
51,39,0.0197839998797633,0.0200140798784744,115,0,0,8,0F D0 11 70 C7 67 C4 00,07 CD,0,1,1,1,0
51,40,0.0200202398783276,0.0202422398770878,275,0,0,8,F4 08 64 00 E3 43 88 4C,6B 56,0,1,1,1,0
51,41,0.0202484798769405,0.020478479875652,345,0,0,8,3F B4 04 B6 E4 FC F4 00,3D F6,0,1,1,1,0
51,42,0.0204847198755047,0.0207207198741798,395,0,0,8,00 00 07 AF 55 FF C3 FF,20 F4,0,1,1,1,0
51,43,0.0219509598665937,0.0221808798653057,245,0,0,8,B2 F9 C3 00 CC 00 00 00,5B 6F,0,1,1,1,0
51,44,0.0221870398651589,0.0224210398638462,255,0,0,8,01 FF E5 FE E7 F9 F7 FF,43 5E,0,1,1,1,0
